Customer_ID,Age,Income,Expenses,Credit_Score,Loan_Amount,Loan_Type,Savings,EMI,EMI_Ratio,Salary_Delay_Days,Late_Payments,Credit_Utilization,Employment_Type,Transaction_Frequency,Existing_Loans,Account_Balance,Risk
CUST100000,24,68254,32084,825,480528,Education Loan,207036,14205,0.208,0,0,0.447,Salaried,27,0,10806,Low
CUST100001,55,34861,19562,561,373553,Personal Loan,137682,8680,0.249,4,2,0.357,Self-Employed,4,4,19192,Low
CUST100002,49,20025,12140,656,416638,Personal Loan,37845,10621,0.53,4,2,0.36,Salaried,34,1,18296,Medium
CUST100003,40,39923,24143,572,3272889,Home Loan,22169,94421,1.4,3,5,0.412,Business Owner,24,0,12270,High
CUST100004,40,72915,42698,693,438289,Personal Loan,219136,9171,0.126,3,0,0.446,Salaried,50,3,96061,Low
CUST100005,58,58364,26759,769,83815,Personal Loan,35234,2225,0.038,1,0,0.508,Salaried,27,1,7539,Low
CUST100006,24,39362,18613,694,278211,Personal Loan,167285,8029,0.204,3,2,0.38,Self-Employed,38,0,85703,Low
CUST100007,51,74456,29134,670,459311,Personal Loan,87322,8603,0.116,3,1,0.415,Salaried,50,0,14933,Low
CUST100008,29,61814,20486,793,592855,Auto Loan,123446,12777,0.207,0,0,0.419,Self-Employed,36,3,35954,Low
CUST100009,25,35598,19007,708,227493,Personal Loan,152542,4175,0.117,1,0,0.293,Salaried,25,2,73433,Low
CUST100010,44,50284,33402,750,3058580,Home Loan,41219,55329,1.1,0,0,0.294,Business Owner,24,2,11226,Medium
CUST100011,63,62837,22418,741,149091,Credit Card,32510,3681,0.059,0,0,0.322,Business Owner,8,1,16374,Low
CUST100012,53,27602,16236,436,284500,Personal Loan,25243,7912,0.287,7,5,0.661,Salaried,15,1,9639,High
CUST100013,54,54292,35824,673,575838,Personal Loan,241282,13453,0.248,1,0,0.741,Business Owner,10,4,126405,Low
CUST100014,52,46112,13504,588,715177,Education Loan,202289,19092,0.414,7,1,0.284,Salaried,16,2,36250,Low
CUST100015,55,18786,9621,610,581392,Auto Loan,38293,12024,0.64,3,0,0.536,Salaried,10,4,15300,Medium
CUST100016,43,36857,28766,805,421747,Auto Loan,127951,12530,0.34,0,0,0.359,Salaried,42,2,53009,Low
CUST100017,26,47275,29654,648,970659,Auto Loan,162803,22399,0.474,2,0,0.437,Business Owner,37,0,45258,Low
CUST100018,57,86054,24795,841,439203,Education Loan,77385,12254,0.142,0,0,0.312,Business Owner,48,2,22289,Low
CUST100019,40,18000,11559,560,613696,Personal Loan,25929,12163,0.676,3,1,0.732,Contract/Freelance,33,4,14378,High
CUST100020,43,45635,20322,588,402423,Personal Loan,185092,11853,0.26,1,2,0.071,Business Owner,21,0,31810,Low
CUST100021,37,27466,17765,745,179399,Credit Card,31937,4530,0.165,1,0,0.199,Contract/Freelance,17,1,3277,Low
CUST100022,29,61823,28030,651,380464,Personal Loan,159715,12016,0.194,1,2,0.662,Salaried,9,2,53310,Low
CUST100023,61,33453,18151,706,1183667,Auto Loan,49397,28024,0.838,0,0,0.639,Contract/Freelance,14,1,26385,Medium
CUST100024,55,99067,47031,670,56570,Personal Loan,270498,1710,0.02,3,0,0.77,Self-Employed,32,3,158813,Low
CUST100025,49,54068,29761,668,1852338,Home Loan,69538,44029,0.814,2,0,0.51,Salaried,54,4,37818,Medium
CUST100026,38,36707,17274,654,1157656,Auto Loan,50031,22586,0.615,1,0,0.551,Self-Employed,24,3,23725,Medium
CUST100027,57,44705,23189,695,1296423,Auto Loan,30721,35816,0.801,2,0,0.101,Salaried,36,1,3374,Medium
CUST100028,44,34224,13190,735,482504,Auto Loan,152663,9921,0.29,0,0,0.411,Salaried,18,4,59782,Low
CUST100029,40,59085,36555,817,127218,Personal Loan,56271,3715,0.063,0,0,0.501,Salaried,51,0,22959,Low
CUST100030,40,22038,12662,663,370521,Personal Loan,47657,8406,0.381,2,0,0.37,Salaried,8,3,15355,Low
CUST100031,30,27704,8967,647,175484,Credit Card,60124,5017,0.181,3,2,0.452,Salaried,18,0,30855,Low
CUST100032,25,66514,45829,636,368054,Personal Loan,114039,9106,0.137,2,3,0.698,Business Owner,59,0,67327,Medium
CUST100033,45,76642,40262,805,832260,Auto Loan,281733,21238,0.277,1,0,0.662,Self-Employed,30,1,164762,Low
CUST100034,60,18000,10308,739,299073,Auto Loan,33314,8459,0.47,1,0,0.452,Salaried,47,0,2039,Low
CUST100035,23,74497,48947,519,2779989,Home Loan,223625,75924,1.019,3,3,0.545,Salaried,18,4,15596,High
CUST100036,58,37682,22457,515,2946991,Home Loan,100686,80450,1.4,3,1,0.688,Salaried,50,3,7988,High
CUST100037,57,18000,12836,609,121217,Credit Card,71210,3300,0.183,4,1,0.428,Salaried,12,0,15798,Low
CUST100038,33,18000,9161,700,1051013,Home Loan,68003,27530,1.4,0,0,0.621,Business Owner,28,3,31285,Medium
CUST100039,48,20166,14012,677,421630,Personal Loan,27664,12354,0.613,1,2,0.354,Salaried,25,0,10128,Medium
CUST100040,28,43759,24821,724,846961,Education Loan,153176,18803,0.43,2,0,0.552,Self-Employed,55,3,48608,Low
CUST100041,54,52599,32668,665,252656,Personal Loan,193053,5190,0.099,5,0,0.453,Business Owner,4,4,87669,Low
CUST100042,51,58703,35604,799,140236,Credit Card,245187,3968,0.068,0,0,0.289,Self-Employed,57,0,46876,Low
CUST100043,36,42312,30621,746,289128,Personal Loan,184179,7389,0.175,0,0,0.467,Business Owner,53,2,109633,Low
CUST100044,23,24377,15869,687,2654345,Home Loan,84049,81246,1.4,5,0,0.371,Salaried,21,3,15642,Medium
CUST100045,63,44991,21955,777,996717,Auto Loan,103467,31408,0.698,0,0,0.579,Business Owner,29,4,26353,Low
CUST100046,40,44821,20628,540,413372,Personal Loan,74935,12459,0.278,2,2,0.361,Self-Employed,45,3,38869,Medium
